C (%),H (%),N (%),O (%),Ash (%),SD (%),T (oC),P (MPa),Time (min),CO2,CH4,CO,H2
39.88,6.2,6.04,26.08,21.8,18,200,2,20,2.21,0,0.03,0
39.88,6.2,6.04,26.08,21.8,18,220,2.6,20,2.57,0,0.05,0
39.88,6.2,6.04,26.08,21.8,18,240,3.8,20,2.55,0,0.04,0
39.88,6.2,6.04,26.08,21.8,18,260,5,20,2.6,0,0.1,0
39.88,6.2,6.04,26.08,21.8,18,280,7,20,3.12,0,0.24,0
39.88,6.2,6.04,26.08,21.8,18,300,9.3,20,3.14,0,0.12,0
50.8,6.3,1.02,39.38,2.5,25,300,21,30,2.18,0,0.29,0
47.99,7.01,3.97,41.03,0,10,300,10.5,30,1.47,0.02,0.09,0.12
47.99,7.01,3.97,41.03,0,10,300,10.5,60,1.93,0.03,0.08,0.16
47.99,7.01,3.97,41.03,0,10,300,10.5,90,2.35,0.03,0.1,0.2
51.28,5.86,0.95,38.01,3.9,7.4,300,20.5,60,4.1,0,0.27,0
42,5.62,1.08,42.66,8.64,10,300,22,60,2.3,1.62,2.15,0.72
39.88,6.2,6.04,26.08,21.8,18,320,12,20,3.46,0.04,0.12,0.02
45,2.2,1.9,25.3,25.6,25,325,24,30,0.13,0.01,0,0.01
47.99,7.01,3.97,41.03,0,10,330,16,30,1.48,0.03,0.08,0.13
47.99,7.01,3.97,41.03,0,10,330,16,60,2.16,0.06,0.11,0.25
47.99,7.01,3.97,41.03,0,10,330,16,90,2.35,0.05,0.11,0.3
40.4,7.2,0,52.4,0,5,330,13.5,120,5.81,0,0.93,0.74
40.7,6.17,8.95,42.77,1.41,5,330,13.5,120,6.67,0,0.3,3.24
77.5,11.5,1.16,8.74,1.1,5,330,13.5,120,0.08,0,0.02,0.14
39.88,6.2,6.04,26.08,21.8,18,340,15.5,20,3.57,0.03,0.15,0.03
38.18,3.4,4.67,24.79,28.96,8.9,350,20.87,60,2.98,0.28,0.28,0.49
45,2.2,1.9,25.3,25.6,25,350,24,30,0.26,0.02,0,0.03
50.8,6.3,1.02,39.38,2.5,25,350,21,30,2.66,0.1,0.25,0.05
34.41,4.87,4.77,53.45,2.5,30,350,16.5,15,4,0.05,0.35,0.89
34.41,4.87,4.77,53.45,2.5,30,350,16.5,30,5.44,0.05,0.78,0.82
34.41,4.87,4.77,53.45,2.5,30,350,16.5,45,5.44,0.05,0.71,1.08
34.41,4.87,4.77,53.45,2.5,30,350,16.5,30,3.21,0.03,0.46,0.45
34.41,4.87,4.77,53.45,2.5,30,350,16.5,30,3.22,0.03,0.46,0.44
34.41,4.87,4.77,53.45,2.5,30,350,16.5,30,3.21,0.02,0.47,0.46
39.88,6.2,6.04,26.08,21.8,18,360,19.4,20,3.68,0.1,0.16,0.07
47.99,7.01,3.97,41.03,0,10,360,20,30,2.54,0.36,0.2,0.81
47.99,7.01,3.97,41.03,0,10,360,20,60,2.67,0.4,0.11,0.95
47.99,7.01,3.97,41.03,0,10,360,20,90,2.76,0.46,0.13,1.11
47.99,7.01,3.97,41.03,0,10,360,20,90,3.42,0.49,0.07,1.01
47.99,7.01,3.97,41.03,0,15,360,20,90,3.18,0.55,0.16,1
47.99,7.01,3.97,41.03,0,20,360,20,90,2.75,0.61,0.15,0.82
47.99,7.01,3.97,41.03,0,25,360,20,90,2.69,0.66,0.16,0.75
47.99,7.01,3.97,41.03,0,30,360,20,90,2.56,0.72,0.15,0.6
50.8,6.3,1.02,39.38,2.5,25,370,22,30,2.79,0.55,0.2,0.07
38.18,3.4,4.67,24.79,28.96,8.9,375,21.87,25,3.11,0.61,0.4,0.85
45,2.2,1.9,25.3,25.6,25,375,24,30,0.32,0.02,0,0.04
76.3,14.1,1.19,8.41,0,25,375,23,30,0.96,0.38,0.97,1.08
36.7,6.2,6.8,25.3,25,3,380,23,15,2.73,0,0,0.42
18.94,2.21,2.89,13.39,62.57,10,380,24,60,0.61,0.16,0.05,0.34
39.88,6.2,6.04,26.08,21.8,18,380,22,20,0,0.24,0.16,0.57
39.88,6.2,6.04,26.08,21.8,18,380,22,20,2.81,0.22,0.2,0.13
39.88,6.2,6.04,26.08,21.8,15,380,22,20,2.91,0.18,0.16,0.11
39.88,6.2,6.04,26.08,21.8,10,380,22,20,2.94,0.13,0.11,0.09
39.88,6.2,6.04,26.08,21.8,8,380,22,20,2.92,0.12,0.09,0.09
39.88,6.2,6.04,26.08,21.8,5,380,22,20,3.88,0.09,0.09,0.11
41.9,7.2,0.5,48,2.4,1.25,380,22.1,8,1.14,0.05,0.17,1.62
41.9,7.2,0.5,48,2.4,2.5,380,22.1,8,0.6,0.03,0.11,1.19
41.9,7.2,0.5,48,2.4,3.75,380,22.1,8,0.44,0.02,0.07,0.95
41.9,7.2,0.5,48,2.4,5,380,22.1,8,0.34,0.02,0.04,0.67
41.9,7.2,0.5,48,2.4,6.25,380,22.1,8,0.27,0.02,0.04,0.53
41.9,7.2,0.5,48,2.4,3.75,380,22.1,8,0.44,0.03,0.08,0.95
41.9,7.2,0.5,48,2.4,3.75,380,22.1,16,0.44,0.03,0.05,1.09
41.9,7.2,0.5,48,2.4,3.75,380,22.1,24,0.43,0.03,0.04,1.23
41.9,7.2,0.5,48,2.4,3.75,380,22.1,32,0.43,0.03,0.03,1.47
41.9,7.2,0.5,48,2.4,3.75,380,22.1,8,0.03,0.02,0.08,0.95
49.85,6.08,0.84,41.55,1.68,1,380,23.5,10,7.04,2.8,1.91,4.04
57.15,5.34,2.25,32.09,3.17,2.5,380,23,30,4.65,3.24,2.18,2.23
